,INSTRUMENT,TRADE_PRICE,TRADE_TIME
48,BVMF3,19.13,1900-01-01 10:10:00
49,BVMF3,19.17,1900-01-01 10:20:00
50,BVMF3,19.27,1900-01-01 10:30:00
51,BVMF3,19.25,1900-01-01 10:40:00
52,BVMF3,19.28,1900-01-01 10:50:00
53,BVMF3,19.44,1900-01-01 11:00:00
54,BVMF3,19.44,1900-01-01 11:10:00
55,BVMF3,19.48,1900-01-01 11:20:00
56,BVMF3,19.49,1900-01-01 11:30:00
57,BVMF3,19.51,1900-01-01 11:40:00
58,BVMF3,19.51,1900-01-01 11:50:00
59,BVMF3,19.51,1900-01-01 12:00:00
60,BVMF3,19.5,1900-01-01 12:10:00
61,BVMF3,19.56,1900-01-01 12:20:00
62,BVMF3,19.54,1900-01-01 12:30:00
63,BVMF3,19.54,1900-01-01 12:40:00
64,BVMF3,19.55,1900-01-01 12:50:00
65,BVMF3,19.53,1900-01-01 13:00:00
66,BVMF3,19.5,1900-01-01 13:10:00
67,BVMF3,19.47,1900-01-01 13:20:00
68,BVMF3,19.53,1900-01-01 13:30:00
69,BVMF3,19.55,1900-01-01 13:40:00
70,BVMF3,19.48,1900-01-01 13:50:00
71,BVMF3,19.45,1900-01-01 14:00:00
72,BVMF3,19.54,1900-01-01 14:10:00
73,BVMF3,19.43,1900-01-01 14:20:00
74,BVMF3,19.44,1900-01-01 14:30:00
75,BVMF3,19.45,1900-01-01 14:40:00
76,BVMF3,19.5,1900-01-01 14:50:00
77,BVMF3,19.53,1900-01-01 15:00:00
78,BVMF3,19.55,1900-01-01 15:10:00
79,BVMF3,19.58,1900-01-01 15:20:00
80,BVMF3,19.59,1900-01-01 15:30:00
81,BVMF3,19.56,1900-01-01 15:40:00
82,BVMF3,19.59,1900-01-01 15:50:00
83,BVMF3,19.51,1900-01-01 16:00:00
84,BVMF3,19.49,1900-01-01 16:10:00
85,BVMF3,19.52,1900-01-01 16:20:00
86,BVMF3,19.5,1900-01-01 16:30:00
87,BVMF3,19.57,1900-01-01 16:40:00
88,BVMF3,19.48,1900-01-01 16:50:00
89,BVMF3,19.48,1900-01-01 17:00:00
90,BVMF3,19.55,1900-01-01 17:10:00
91,BVMF3,19.55,1900-01-01 17:20:00
92,BVMF3,19.55,1900-01-01 17:30:00
93,BVMF3,19.56,1900-01-01 17:40:00
94,BVMF3,19.56,1900-01-01 17:50:00
95,BVMF3,19.55,1900-01-01 18:00:00
192,BVMF3,19.44,1900-01-01 10:10:00
193,BVMF3,19.49,1900-01-01 10:20:00
194,BVMF3,19.55,1900-01-01 10:30:00
195,BVMF3,19.6,1900-01-01 10:40:00
196,BVMF3,19.61,1900-01-01 10:50:00
197,BVMF3,19.65,1900-01-01 11:00:00
198,BVMF3,19.57,1900-01-01 11:10:00
199,BVMF3,19.57,1900-01-01 11:20:00
200,BVMF3,19.58,1900-01-01 11:30:00
201,BVMF3,19.61,1900-01-01 11:40:00
202,BVMF3,19.6,1900-01-01 11:50:00
203,BVMF3,19.55,1900-01-01 12:00:00
204,BVMF3,19.56,1900-01-01 12:10:00
205,BVMF3,19.53,1900-01-01 12:20:00
206,BVMF3,19.53,1900-01-01 12:30:00
207,BVMF3,19.54,1900-01-01 12:40:00
208,BVMF3,19.55,1900-01-01 12:50:00
209,BVMF3,19.54,1900-01-01 13:00:00
210,BVMF3,19.52,1900-01-01 13:10:00
211,BVMF3,19.51,1900-01-01 13:20:00
212,BVMF3,19.51,1900-01-01 13:30:00
213,BVMF3,19.51,1900-01-01 13:40:00
214,BVMF3,19.47,1900-01-01 13:50:00
215,BVMF3,19.44,1900-01-01 14:00:00
216,BVMF3,19.53,1900-01-01 14:10:00
217,BVMF3,19.5,1900-01-01 14:20:00
218,BVMF3,19.48,1900-01-01 14:30:00
219,BVMF3,19.52,1900-01-01 14:40:00
220,BVMF3,19.57,1900-01-01 14:50:00
221,BVMF3,19.54,1900-01-01 15:00:00
222,BVMF3,19.55,1900-01-01 15:10:00
223,BVMF3,19.46,1900-01-01 15:20:00
224,BVMF3,19.49,1900-01-01 15:30:00
225,BVMF3,19.52,1900-01-01 15:40:00
226,BVMF3,19.55,1900-01-01 15:50:00
227,BVMF3,19.59,1900-01-01 16:00:00
228,BVMF3,19.61,1900-01-01 16:10:00
229,BVMF3,19.51,1900-01-01 16:20:00
230,BVMF3,19.49,1900-01-01 16:30:00
231,BVMF3,19.52,1900-01-01 16:40:00
232,BVMF3,19.52,1900-01-01 16:50:00
233,BVMF3,19.51,1900-01-01 17:00:00
234,BVMF3,19.51,1900-01-01 17:10:00
235,BVMF3,19.51,1900-01-01 17:20:00
236,BVMF3,19.51,1900-01-01 17:30:00
237,BVMF3,19.49,1900-01-01 17:40:00
238,BVMF3,19.52,1900-01-01 17:50:00
239,BVMF3,19.52,1900-01-01 18:00:00
336,BVMF3,19.43,1900-01-01 10:10:00
337,BVMF3,19.49,1900-01-01 10:20:00
338,BVMF3,19.5,1900-01-01 10:30:00
339,BVMF3,19.45,1900-01-01 10:40:00
340,BVMF3,19.52,1900-01-01 10:50:00
341,BVMF3,19.49,1900-01-01 11:00:00
342,BVMF3,19.45,1900-01-01 11:10:00
343,BVMF3,19.42,1900-01-01 11:20:00
344,BVMF3,19.44,1900-01-01 11:30:00
345,BVMF3,19.4,1900-01-01 11:40:00
346,BVMF3,19.41,1900-01-01 11:50:00
347,BVMF3,19.22,1900-01-01 12:00:00
348,BVMF3,19.29,1900-01-01 12:10:00
349,BVMF3,19.33,1900-01-01 12:20:00
350,BVMF3,19.37,1900-01-01 12:30:00
351,BVMF3,19.38,1900-01-01 12:40:00
352,BVMF3,19.37,1900-01-01 12:50:00
353,BVMF3,19.37,1900-01-01 13:00:00
354,BVMF3,19.3,1900-01-01 13:10:00
355,BVMF3,19.3,1900-01-01 13:20:00
356,BVMF3,19.3,1900-01-01 13:30:00
357,BVMF3,19.3,1900-01-01 13:40:00
358,BVMF3,19.29,1900-01-01 13:50:00
359,BVMF3,19.27,1900-01-01 14:00:00
360,BVMF3,19.31,1900-01-01 14:10:00
361,BVMF3,19.31,1900-01-01 14:20:00
362,BVMF3,19.27,1900-01-01 14:30:00
363,BVMF3,19.29,1900-01-01 14:40:00
364,BVMF3,19.32,1900-01-01 14:50:00
365,BVMF3,19.29,1900-01-01 15:00:00
366,BVMF3,19.28,1900-01-01 15:10:00
367,BVMF3,19.24,1900-01-01 15:20:00
368,BVMF3,19.26,1900-01-01 15:30:00
369,BVMF3,19.28,1900-01-01 15:40:00
370,BVMF3,19.27,1900-01-01 15:50:00
371,BVMF3,19.16,1900-01-01 16:00:00
372,BVMF3,19.27,1900-01-01 16:10:00
373,BVMF3,19.35,1900-01-01 16:20:00
374,BVMF3,19.34,1900-01-01 16:30:00
375,BVMF3,19.26,1900-01-01 16:40:00
376,BVMF3,19.2,1900-01-01 16:50:00
377,BVMF3,19.21,1900-01-01 17:00:00
378,BVMF3,19.3,1900-01-01 17:10:00
379,BVMF3,19.3,1900-01-01 17:20:00
380,BVMF3,19.3,1900-01-01 17:30:00
381,BVMF3,19.29,1900-01-01 17:40:00
382,BVMF3,19.29,1900-01-01 17:50:00
383,BVMF3,19.3,1900-01-01 18:00:00
480,BVMF3,19.45,1900-01-01 10:10:00
481,BVMF3,19.39,1900-01-01 10:20:00
482,BVMF3,19.44,1900-01-01 10:30:00
483,BVMF3,19.41,1900-01-01 10:40:00
484,BVMF3,19.39,1900-01-01 10:50:00
485,BVMF3,19.4,1900-01-01 11:00:00
486,BVMF3,19.4,1900-01-01 11:10:00
487,BVMF3,19.41,1900-01-01 11:20:00
488,BVMF3,19.43,1900-01-01 11:30:00
489,BVMF3,19.43,1900-01-01 11:40:00
490,BVMF3,19.42,1900-01-01 11:50:00
491,BVMF3,19.42,1900-01-01 12:00:00
492,BVMF3,19.4,1900-01-01 12:10:00
493,BVMF3,19.42,1900-01-01 12:20:00
494,BVMF3,19.42,1900-01-01 12:30:00
495,BVMF3,19.41,1900-01-01 12:40:00
496,BVMF3,19.44,1900-01-01 12:50:00
497,BVMF3,19.45,1900-01-01 13:00:00
498,BVMF3,19.43,1900-01-01 13:10:00
499,BVMF3,19.42,1900-01-01 13:20:00
500,BVMF3,19.39,1900-01-01 13:30:00
501,BVMF3,19.37,1900-01-01 13:40:00
502,BVMF3,19.37,1900-01-01 13:50:00
503,BVMF3,19.38,1900-01-01 14:00:00
504,BVMF3,19.37,1900-01-01 14:10:00
505,BVMF3,19.38,1900-01-01 14:20:00
506,BVMF3,19.39,1900-01-01 14:30:00
507,BVMF3,19.4,1900-01-01 14:40:00
508,BVMF3,19.39,1900-01-01 14:50:00
509,BVMF3,19.35,1900-01-01 15:00:00
510,BVMF3,19.35,1900-01-01 15:10:00
511,BVMF3,19.35,1900-01-01 15:20:00
512,BVMF3,19.37,1900-01-01 15:30:00
513,BVMF3,19.36,1900-01-01 15:40:00
514,BVMF3,19.37,1900-01-01 15:50:00
515,BVMF3,19.36,1900-01-01 16:00:00
516,BVMF3,19.36,1900-01-01 16:10:00
517,BVMF3,19.39,1900-01-01 16:20:00
518,BVMF3,19.38,1900-01-01 16:30:00
519,BVMF3,19.41,1900-01-01 16:40:00
520,BVMF3,19.43,1900-01-01 16:50:00
521,BVMF3,19.4,1900-01-01 17:00:00
522,BVMF3,19.45,1900-01-01 17:10:00
523,BVMF3,19.45,1900-01-01 17:20:00
524,BVMF3,19.45,1900-01-01 17:30:00
525,BVMF3,19.38,1900-01-01 17:40:00
526,BVMF3,19.38,1900-01-01 17:50:00
527,BVMF3,19.39,1900-01-01 18:00:00
624,BVMF3,19.42,1900-01-01 10:10:00
625,BVMF3,19.35,1900-01-01 10:20:00
626,BVMF3,19.38,1900-01-01 10:30:00
627,BVMF3,19.42,1900-01-01 10:40:00
628,BVMF3,19.47,1900-01-01 10:50:00
