,INSTRUMENT,TRADE_PRICE,TRADE_TIME
0,PETR4,14.12,1900-01-01 10:10:00
1,PETR4,14.09,1900-01-01 10:20:00
2,PETR4,14.18,1900-01-01 10:30:00
3,PETR4,14.15,1900-01-01 10:40:00
4,PETR4,14.15,1900-01-01 10:50:00
5,PETR4,14.2,1900-01-01 11:00:00
6,PETR4,14.24,1900-01-01 11:10:00
7,PETR4,14.22,1900-01-01 11:20:00
8,PETR4,14.2,1900-01-01 11:30:00
9,PETR4,14.23,1900-01-01 11:40:00
10,PETR4,14.24,1900-01-01 11:50:00
11,PETR4,14.22,1900-01-01 12:00:00
12,PETR4,14.22,1900-01-01 12:10:00
13,PETR4,14.21,1900-01-01 12:20:00
14,PETR4,14.18,1900-01-01 12:30:00
15,PETR4,14.2,1900-01-01 12:40:00
16,PETR4,14.22,1900-01-01 12:50:00
17,PETR4,14.18,1900-01-01 13:00:00
18,PETR4,14.2,1900-01-01 13:10:00
19,PETR4,14.21,1900-01-01 13:20:00
20,PETR4,14.28,1900-01-01 13:30:00
21,PETR4,14.3,1900-01-01 13:40:00
22,PETR4,14.28,1900-01-01 13:50:00
23,PETR4,14.31,1900-01-01 14:00:00
24,PETR4,14.33,1900-01-01 14:10:00
25,PETR4,14.32,1900-01-01 14:20:00
26,PETR4,14.31,1900-01-01 14:30:00
27,PETR4,14.33,1900-01-01 14:40:00
28,PETR4,14.31,1900-01-01 14:50:00
29,PETR4,14.21,1900-01-01 15:00:00
30,PETR4,14.19,1900-01-01 15:10:00
31,PETR4,14.19,1900-01-01 15:20:00
32,PETR4,13.98,1900-01-01 15:30:00
33,PETR4,14.01,1900-01-01 15:40:00
34,PETR4,13.88,1900-01-01 15:50:00
35,PETR4,13.91,1900-01-01 16:00:00
36,PETR4,13.95,1900-01-01 16:10:00
37,PETR4,13.97,1900-01-01 16:20:00
38,PETR4,13.96,1900-01-01 16:30:00
39,PETR4,13.98,1900-01-01 16:40:00
40,PETR4,14.01,1900-01-01 16:50:00
41,PETR4,13.98,1900-01-01 17:00:00
42,PETR4,13.99,1900-01-01 17:10:00
43,PETR4,13.99,1900-01-01 17:20:00
44,PETR4,13.99,1900-01-01 17:30:00
45,PETR4,14.0,1900-01-01 17:40:00
46,PETR4,14.02,1900-01-01 17:50:00
47,PETR4,14.02,1900-01-01 18:00:00
144,PETR4,14.07,1900-01-01 10:10:00
145,PETR4,14.03,1900-01-01 10:20:00
146,PETR4,13.99,1900-01-01 10:30:00
147,PETR4,13.96,1900-01-01 10:40:00
148,PETR4,14.1,1900-01-01 10:50:00
149,PETR4,14.17,1900-01-01 11:00:00
150,PETR4,14.1,1900-01-01 11:10:00
151,PETR4,14.19,1900-01-01 11:20:00
152,PETR4,14.17,1900-01-01 11:30:00
153,PETR4,14.14,1900-01-01 11:40:00
154,PETR4,14.09,1900-01-01 11:50:00
155,PETR4,14.08,1900-01-01 12:00:00
156,PETR4,14.12,1900-01-01 12:10:00
157,PETR4,14.13,1900-01-01 12:20:00
158,PETR4,14.06,1900-01-01 12:30:00
159,PETR4,14.13,1900-01-01 12:40:00
160,PETR4,14.14,1900-01-01 12:50:00
161,PETR4,14.13,1900-01-01 13:00:00
162,PETR4,14.13,1900-01-01 13:10:00
163,PETR4,14.14,1900-01-01 13:20:00
164,PETR4,14.13,1900-01-01 13:30:00
