,INSTRUMENT,TRADE_PRICE,TRADE_TIME
64,ITUB4,39.77,1900-01-01 10:15:00
65,ITUB4,39.78,1900-01-01 10:30:00
66,ITUB4,39.69,1900-01-01 10:45:00
67,ITUB4,39.85,1900-01-01 11:00:00
68,ITUB4,39.84,1900-01-01 11:15:00
69,ITUB4,39.91,1900-01-01 11:30:00
70,ITUB4,39.9,1900-01-01 11:45:00
71,ITUB4,39.87,1900-01-01 12:00:00
72,ITUB4,39.84,1900-01-01 12:15:00
73,ITUB4,39.79,1900-01-01 12:30:00
74,ITUB4,39.79,1900-01-01 12:45:00
75,ITUB4,39.75,1900-01-01 13:00:00
76,ITUB4,39.83,1900-01-01 13:15:00
77,ITUB4,40.0,1900-01-01 13:30:00
78,ITUB4,39.98,1900-01-01 13:45:00
79,ITUB4,40.01,1900-01-01 14:00:00
80,ITUB4,40.04,1900-01-01 14:15:00
81,ITUB4,40.03,1900-01-01 14:30:00
82,ITUB4,40.09,1900-01-01 14:45:00
83,ITUB4,39.96,1900-01-01 15:00:00
84,ITUB4,40.07,1900-01-01 15:15:00
85,ITUB4,40.06,1900-01-01 15:30:00
86,ITUB4,40.08,1900-01-01 15:45:00
87,ITUB4,39.88,1900-01-01 16:00:00
88,ITUB4,40.03,1900-01-01 16:15:00
89,ITUB4,39.96,1900-01-01 16:30:00
90,ITUB4,40.01,1900-01-01 16:45:00
91,ITUB4,40.03,1900-01-01 17:00:00
92,ITUB4,40.05,1900-01-01 17:15:00
93,ITUB4,40.05,1900-01-01 17:30:00
94,ITUB4,40.06,1900-01-01 17:45:00
95,ITUB4,40.06,1900-01-01 18:00:00
160,ITUB4,39.7,1900-01-01 10:15:00
161,ITUB4,39.56,1900-01-01 10:30:00
162,ITUB4,39.37,1900-01-01 10:45:00
163,ITUB4,39.66,1900-01-01 11:00:00
164,ITUB4,39.37,1900-01-01 11:15:00
165,ITUB4,39.37,1900-01-01 11:30:00
166,ITUB4,39.4,1900-01-01 11:45:00
167,ITUB4,39.19,1900-01-01 12:00:00
168,ITUB4,39.28,1900-01-01 12:15:00
169,ITUB4,39.31,1900-01-01 12:30:00
170,ITUB4,39.41,1900-01-01 12:45:00
171,ITUB4,39.42,1900-01-01 13:00:00
172,ITUB4,39.47,1900-01-01 13:15:00
173,ITUB4,39.58,1900-01-01 13:30:00
174,ITUB4,39.45,1900-01-01 13:45:00
175,ITUB4,39.31,1900-01-01 14:00:00
176,ITUB4,39.31,1900-01-01 14:15:00
177,ITUB4,39.27,1900-01-01 14:30:00
178,ITUB4,39.27,1900-01-01 14:45:00
179,ITUB4,39.37,1900-01-01 15:00:00
180,ITUB4,39.31,1900-01-01 15:15:00
181,ITUB4,39.3,1900-01-01 15:30:00
182,ITUB4,39.32,1900-01-01 15:45:00
183,ITUB4,39.43,1900-01-01 16:00:00
184,ITUB4,39.37,1900-01-01 16:15:00
185,ITUB4,39.32,1900-01-01 16:30:00
186,ITUB4,39.41,1900-01-01 16:45:00
187,ITUB4,39.39,1900-01-01 17:00:00
188,ITUB4,39.39,1900-01-01 17:15:00
189,ITUB4,39.39,1900-01-01 17:30:00
190,ITUB4,39.3,1900-01-01 17:45:00
191,ITUB4,39.33,1900-01-01 18:00:00
256,ITUB4,39.48,1900-01-01 10:15:00
257,ITUB4,39.35,1900-01-01 10:30:00
258,ITUB4,38.91,1900-01-01 10:45:00
259,ITUB4,38.97,1900-01-01 11:00:00
260,ITUB4,38.9,1900-01-01 11:15:00
261,ITUB4,38.9,1900-01-01 11:30:00
262,ITUB4,38.61,1900-01-01 11:45:00
263,ITUB4,38.55,1900-01-01 12:00:00
264,ITUB4,38.63,1900-01-01 12:15:00
265,ITUB4,38.55,1900-01-01 12:30:00
266,ITUB4,38.6,1900-01-01 12:45:00
267,ITUB4,38.53,1900-01-01 13:00:00
268,ITUB4,38.46,1900-01-01 13:15:00
269,ITUB4,38.35,1900-01-01 13:30:00
270,ITUB4,38.28,1900-01-01 13:45:00
271,ITUB4,38.24,1900-01-01 14:00:00
272,ITUB4,38.28,1900-01-01 14:15:00
273,ITUB4,38.18,1900-01-01 14:30:00
274,ITUB4,38.14,1900-01-01 14:45:00
275,ITUB4,38.14,1900-01-01 15:00:00
276,ITUB4,38.1,1900-01-01 15:15:00
277,ITUB4,38.17,1900-01-01 15:30:00
278,ITUB4,38.12,1900-01-01 15:45:00
279,ITUB4,38.1,1900-01-01 16:00:00
280,ITUB4,38.15,1900-01-01 16:15:00
281,ITUB4,38.19,1900-01-01 16:30:00
282,ITUB4,38.15,1900-01-01 16:45:00
283,ITUB4,38.14,1900-01-01 17:00:00
284,ITUB4,38.1,1900-01-01 17:15:00
285,ITUB4,38.1,1900-01-01 17:30:00
286,ITUB4,38.09,1900-01-01 17:45:00
287,ITUB4,38.07,1900-01-01 18:00:00
352,ITUB4,38.16,1900-01-01 10:15:00
353,ITUB4,38.26,1900-01-01 10:30:00
354,ITUB4,38.24,1900-01-01 10:45:00
355,ITUB4,38.45,1900-01-01 11:00:00
356,ITUB4,38.55,1900-01-01 11:15:00
357,ITUB4,38.49,1900-01-01 11:30:00
358,ITUB4,38.47,1900-01-01 11:45:00
359,ITUB4,38.35,1900-01-01 12:00:00
360,ITUB4,38.4,1900-01-01 12:15:00
361,ITUB4,38.46,1900-01-01 12:30:00
362,ITUB4,38.64,1900-01-01 12:45:00
363,ITUB4,38.69,1900-01-01 13:00:00
364,ITUB4,38.5,1900-01-01 13:15:00
365,ITUB4,38.52,1900-01-01 13:30:00
366,ITUB4,38.5,1900-01-01 13:45:00
367,ITUB4,38.56,1900-01-01 14:00:00
368,ITUB4,38.61,1900-01-01 14:15:00
369,ITUB4,38.73,1900-01-01 14:30:00
370,ITUB4,38.78,1900-01-01 14:45:00
371,ITUB4,38.72,1900-01-01 15:00:00
372,ITUB4,38.66,1900-01-01 15:15:00
373,ITUB4,38.74,1900-01-01 15:30:00
374,ITUB4,38.72,1900-01-01 15:45:00
375,ITUB4,38.67,1900-01-01 16:00:00
376,ITUB4,38.77,1900-01-01 16:15:00
377,ITUB4,38.76,1900-01-01 16:30:00
378,ITUB4,38.72,1900-01-01 16:45:00
379,ITUB4,38.65,1900-01-01 17:00:00
380,ITUB4,38.7,1900-01-01 17:15:00
381,ITUB4,38.7,1900-01-01 17:30:00
382,ITUB4,38.7,1900-01-01 17:45:00
383,ITUB4,38.78,1900-01-01 18:00:00
448,ITUB4,38.55,1900-01-01 10:15:00
449,ITUB4,38.65,1900-01-01 10:30:00
450,ITUB4,38.74,1900-01-01 10:45:00
451,ITUB4,38.85,1900-01-01 11:00:00
452,ITUB4,38.97,1900-01-01 11:15:00
453,ITUB4,38.96,1900-01-01 11:30:00
454,ITUB4,39.02,1900-01-01 11:45:00
455,ITUB4,38.94,1900-01-01 12:00:00
456,ITUB4,38.87,1900-01-01 12:15:00
457,ITUB4,38.81,1900-01-01 12:30:00
458,ITUB4,38.97,1900-01-01 12:45:00
459,ITUB4,38.9,1900-01-01 13:00:00
460,ITUB4,38.78,1900-01-01 13:15:00
461,ITUB4,38.8,1900-01-01 13:30:00
462,ITUB4,38.8,1900-01-01 13:45:00
463,ITUB4,38.83,1900-01-01 14:00:00
464,ITUB4,38.81,1900-01-01 14:15:00
465,ITUB4,38.83,1900-01-01 14:30:00
466,ITUB4,38.84,1900-01-01 14:45:00
467,ITUB4,38.87,1900-01-01 15:00:00
468,ITUB4,38.85,1900-01-01 15:15:00
469,ITUB4,38.84,1900-01-01 15:30:00
470,ITUB4,38.81,1900-01-01 15:45:00
471,ITUB4,38.84,1900-01-01 16:00:00
472,ITUB4,38.81,1900-01-01 16:15:00
473,ITUB4,38.77,1900-01-01 16:30:00
474,ITUB4,38.81,1900-01-01 16:45:00
475,ITUB4,38.83,1900-01-01 17:00:00
476,ITUB4,38.79,1900-01-01 17:15:00
477,ITUB4,38.79,1900-01-01 17:30:00
478,ITUB4,38.76,1900-01-01 17:45:00
479,ITUB4,38.8,1900-01-01 18:00:00
543,ITUB4,39.0,1900-01-01 10:15:00
544,ITUB4,38.89,1900-01-01 10:30:00
545,ITUB4,38.88,1900-01-01 10:45:00
546,ITUB4,38.82,1900-01-01 11:00:00
547,ITUB4,38.95,1900-01-01 11:15:00
548,ITUB4,38.86,1900-01-01 11:30:00
549,ITUB4,38.88,1900-01-01 11:45:00
550,ITUB4,38.9,1900-01-01 12:00:00
551,ITUB4,38.94,1900-01-01 12:15:00
552,ITUB4,39.02,1900-01-01 12:30:00
553,ITUB4,39.03,1900-01-01 12:45:00
554,ITUB4,39.07,1900-01-01 13:00:00
555,ITUB4,39.08,1900-01-01 13:15:00
556,ITUB4,39.0,1900-01-01 13:30:00
557,ITUB4,38.98,1900-01-01 13:45:00
558,ITUB4,38.97,1900-01-01 14:00:00
559,ITUB4,38.93,1900-01-01 14:15:00
560,ITUB4,38.92,1900-01-01 14:30:00
561,ITUB4,38.96,1900-01-01 14:45:00
562,ITUB4,39.03,1900-01-01 15:00:00
563,ITUB4,38.94,1900-01-01 15:15:00
564,ITUB4,38.92,1900-01-01 15:30:00
565,ITUB4,38.95,1900-01-01 15:45:00
566,ITUB4,38.88,1900-01-01 16:00:00
567,ITUB4,38.9,1900-01-01 16:15:00
568,ITUB4,38.91,1900-01-01 16:30:00
569,ITUB4,38.77,1900-01-01 16:45:00
570,ITUB4,38.8,1900-01-01 17:00:00
571,ITUB4,38.89,1900-01-01 17:15:00
572,ITUB4,38.89,1900-01-01 17:30:00
573,ITUB4,38.89,1900-01-01 17:45:00
574,ITUB4,38.92,1900-01-01 18:00:00
639,ITUB4,39.27,1900-01-01 10:15:00
640,ITUB4,39.18,1900-01-01 10:30:00
641,ITUB4,39.28,1900-01-01 10:45:00
642,ITUB4,39.1,1900-01-01 11:00:00
643,ITUB4,39.08,1900-01-01 11:15:00
644,ITUB4,38.98,1900-01-01 11:30:00
645,ITUB4,39.22,1900-01-01 11:45:00
646,ITUB4,39.21,1900-01-01 12:00:00
647,ITUB4,39.09,1900-01-01 12:15:00
